counts	instances_pre	instances_post
1	13045	2565
2	4280	775
3	2444	378
4	1578	291
5	1118	272
6	815	210
7	647	153
8	451	155
9	349	79
10	317	88
11	212	60
12	202	60
13	138	42
14	135	51
15	111	28
16	86	31
17	71	28
18	69	34
19	50	16
20	47	16
21	44	13
22	32	23
23	30	13
24	30	11
25	15	9
26	27	8
27	25	13
28	21	4
29	17	8
30	17	4
31	12	6
32	10	4
33	15	9
34	13	7
35	7	10
36	9	6
37	8	8
38	4	6
39	11	5
40	9	6
41	4	3
42	5	3
43	2	5
44	4	3
45	2	3
46	4	3
47	2	3
48	2	2
49	10	1
50	5	2
51	3	1
52	3	0
53	4	1
54	2	2
55	5	2
57	1	3
58	2	1
59	0	1
60	2	1
61	2	2
62	3	1
63	1	1
64	0	1
65	1	0
66	0	3
67	2	1
68	2	1
69	1	1
70	2	3
71	2	2
72	1	1
74	1	0
75	1	2
76	0	2
77	0	1
78	2	0
79	1	2
80	0	1
81	1	1
82	0	1
83	1	2
84	2	0
85	1	0
87	1	0
89	1	0
90	0	1
91	1	0
93	1	0
94	0	1
96	1	0
98	0	1
99	0	1
100	1	0
101	1	1
104	0	1
105	0	1
106	0	1
107	1	0
108	0	1
109	1	0
112	1	0
114	3	0
115	1	0
116	1	0
127	0	1
130	0	1
131	0	1
132	0	1
138	0	1
139	1	0
146	0	1
148	0	1
153	1	0
154	0	1
158	0	1
167	1	0
168	0	1
170	0	1
171	0	1
172	1	0
173	0	1
184	1	0
191	0	1
193	0	1
218	0	1
238	1	0
251	0	1
292	0	2
308	0	1
314	0	1
381	1	0
390	0	1
444	0	1
465	0	1
489	0	1
543	0	1
731	0	1
1176	0	1
1348	0	1
1480	0	1
1844	0	1
2768	0	1
10512	0	1
13056	0	1
26441	0	1
